source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
CIBODEX,0,gpd,"BODEX index (copd) BODE índice de masa corporal (Body mass index), Obstrucción del flujo de aire, Disnea y capacidad de Ejercicio.",44813157,SNOMED,1970-01-01,2099-12-31,
CLACTANC,0,gpd,breastfeeding (YES/NO),40766616,LOINC,1970-01-01,2099-12-31,
CPAACTIV,0,gpd,PHYSICAL ACTIVITY,3037318,LOINC,1970-01-01,2099-12-31,
CPROYAF,0,gpd,PHYSICAL ACTIVITY (ATCCAPO),4195380,SNOMED,1970-01-01,2099-12-31,
CVALALI,0,gpd,diet education  proper nutrition (YES/NO) proper feed diet education,21492717,SNOMED,1970-01-01,2099-12-31,
DOPTOTIP,0,gpd,OPTOTypeS (T) visual acuity,4239582,SNOMED,1970-01-01,2099-12-31,
DPULSO,0,gpd,PULSO (LPM) pulse beats per minute,4301868,SNOMED,1970-01-01,2099-12-31,
DPULSOSP,0,gpd,PERIPHERAL PULSES,4183393,SNOMED,1970-01-01,2099-12-31,
DTAIVDLB,0,gpd,TEST DE LAWTON Y BRODY (AIVD),36684833,SNOMED,1970-01-01,2099-12-31,
DTANERG,0,gpd,TANNER GENIT (T),4090183,SNOMED,1970-01-01,2099-12-31,
DTANERM,0,gpd,TANNER MAMAS (T),4089836,SNOMED,1970-01-01,2099-12-31,
DVCOGNIT,0,gpd,TEST. VALOR. COGN. (Pfeiffer) Short Portable Mental Status Questionnaire SPMSQ,36684955,SNOMED,1970-01-01,2099-12-31,
DVFUNCIO,0,gpd,TEST. VAL. FUNCTIONAL (BARTHEL) functional assessment test barthel index,4167605,SNOMED,1970-01-01,2099-12-31,
EACTPRTR,0,gpd,PROTHROMBIN ACTIVITY 3289-6,3005353,LOINC,1970-01-01,2099-12-31,
EALBU.,0,gpd,ALBUMINA,3012516,LOINC,1970-01-01,2099-12-31,
EALFAFET,0,gpd,ALFA-FETOPROTEINA alpha fetoprotein,37398707,SNOMED,1970-01-01,2099-12-31,
EBILDIR,0,gpd,BILIRRUBINA DIRECTA,3027597,LOINC,1970-01-01,2099-12-31,
EBILIND,0,gpd,BILIRRUBINA INDIRECTA,3007359,LOINC,1970-01-01,2099-12-31,
EBILIRRU,0,gpd,BILIRRUBINA TOTAL,3024128,LOINC,1970-01-01,2099-12-31,
ECOL-HDL,0,gpd,COLESTEROL HDL,3007070,LOINC,1970-01-01,2099-12-31,
ECOL-LDL,0,gpd,COLESTEROL LDL,3028437,LOINC,1970-01-01,2099-12-31,
ECR,0,gpd,CREATININe 2161-8 mass/volume in urine,3017250,LOINC,1970-01-01,2099-12-31,
EGFR,0,gpd,GFR glomerular filtration rate,46236975,LOINC,1970-01-01,2099-12-31,
EGGT,0,gpd,GGT gamma glutamyl transferase,3026910,LOINC,1970-01-01,2099-12-31,
EGOT,0,gpd,GOT glutamic oxaloacetic transaminase AST,3013721,LOINC,1970-01-01,2099-12-31,
EGPT,0,gpd,GPT glutamic-pyruvic transaminase ALT,3006923,LOINC,1970-01-01,2099-12-31,
EHCTO,0,gpd,HEMATOCRIT,3009542,LOINC,1970-01-01,2099-12-31,
EHGB,0,gpd,HEMOGLOBIN 718-7 Hemoglobin [Mass/volume] in Blood,3000963,LOINC,1970-01-01,2099-12-31,
EHGBA1C,0,gpd,HB A1C,3004410,LOINC,1970-01-01,2099-12-31,
EINR,0,gpd,INR - International Normalized Ratio 34714-6 INR in blood,3032080,LOINC,1970-01-01,2099-12-31,
EJERCICI,0,gpd,PHYSICAL EXERCISE (YES/NO),4266975,SNOMED,1970-01-01,2099-12-31,
EOMICROA,0,gpd,MICROALBUMINURIA,3000034,LOINC,1970-01-01,2099-12-31,
EPOTASIO,0,gpd,POTASIUM IN serum plasma 2823-3,3023103,LOINC,1970-01-01,2099-12-31,
ESODIO,0,gpd,SODIUM in serum plasma 2951-2,3019550,LOINC,1970-01-01,2099-12-31,
ETP,0,gpd,PROTHROMBIN TIME (QUICK),3034426,LOINC,1970-01-01,2099-12-31,
FFCV,0,gpd,FCV forced expiratory vital capacity,4207356,SNOMED,1970-01-01,2099-12-31,
FFEF2575,0,gpd,FEF 25-75 %,4090668,SNOMED,1970-01-01,2099-12-31,
FFEV1,0,gpd,FEV1 (VEMS),3024653,LOINC,1970-01-01,2099-12-31,
FFEV1/V,0,gpd,FEV1/FC,3011505,LOINC,1970-01-01,2099-12-31,
HCMEDICA,0,gpd,MEDICATION counselling,4262027,SNOMED,1970-01-01,2099-12-31,
HORAS_SU,0,gpd,Duration of sleep HOURS OF SLEEP PER DAY,4086504,SNOMED,1970-01-01,2099-12-31,
HORASTV,0,gpd,Hours per day watching television 45757640,45757640,SNOMED,1970-01-01,2099-12-31,
PERABDOM,0,gpd,abdominal girth  waist circumference,4245376,SNOMED,1970-01-01,2099-12-31,
PPESORN,0,gpd,RN WEIGHT (KG) birth weight,4264825,SNOMED,1970-01-01,2099-12-31,
PTALLARN,0,gpd,height at birth,36304231,LOINC,1970-01-01,2099-12-31,
RCV%,0,gpd,CARDIOVASCULAR RISK percentage,37311069,SNOMED,1970-01-01,2099-12-31,
TTESTFAG,0,gpd,TEST FAGESTROM (TOTAL),35621753,SNOMED,1970-01-01,2099-12-31,
